snapped_at,price,market_cap,total_volume
4/28/13,135.3,1500517590,0
4/29/13,141.96,1575032004,0
4/30/13,135.3,1501657493,0
5/1/13,117,1298951550,0
5/2/13,103.43,1148667722,0
5/3/13,91.01,1011066494,0
5/4/13,111.25,1236351844,0
5/5/13,116.79,1298377788,0
5/6/13,118.33,1315992304,0
5/7/13,106.4,1183766500,0
5/8/13,112.64,1253655040,0
5/9/13,113,1258130700,0
5/10/13,118.78,1322989457,0
5/11/13,113.01,1259239352,0
5/12/13,114.713,1278708679,0
5/13/13,117.18,1306721052,0
5/14/13,114.5,1277278988,0
5/15/13,114.156,1273849681,0
5/16/13,115.5,1289277412,0
5/17/13,123.1,1374605382,0
5/18/13,123.88,1383755085,0
5/19/13,120.501,1346499262,0
5/20/13,122.58,1370131821,0
5/21/13,122.9,1374154118,0
5/22/13,123,1375791900,0
5/23/13,125.748,1407041528,0
5/24/13,131.7,1474180657,0
5/25/13,130.77,1464316690,0
5/26/13,134.6,1507769010,0
5/27/13,128.985,1445444606,0
5/28/13,129.179,1448115967,0
5/29/13,132.13,1481781795,0
5/30/13,127.401,1429308634,0
5/31/13,127.98,1436386730,0
6/1/13,129.09,1449499974,0
6/2/13,121.3,1362684200,0
6/3/13,121.16,1361765704,0
6/5/13,121.309,1364113640,0
6/6/13,121.714,1369233814,0
6/7/13,119,1339234925,0
6/8/13,110.09,1239395972,0
6/9/13,108.401,1220874393,0
6/10/13,99.7497,1123844958,0
6/11/13,105.99,1194605341,0
6/12/13,108.9,1227904672,0
6/13/13,108.4,1222819750,0
6/14/13,102.769,1159766150,0
6/15/13,98.399,1110902570,0
6/16/13,99.99,1129287060,0
6/17/13,100.42,1134610433,0
6/18/13,102,1152834600,0
6/19/13,106.55,1204638318,0
6/20/13,107.9,1220273470,0
6/21/13,110.91,1254733148,0
6/22/13,109.015,1233750009,0
6/23/13,107.25,1214260369,0
6/24/13,108,1223181000,0
6/25/13,102.443,1160635652,0
6/26/13,103.691,1175194910,0
6/27/13,103.39,1172207388,0
6/28/13,99.66,1130338737,0
6/29/13,93.3311,1058953327,0
6/30/13,95.3886,1082693996,0
7/1/13,97.504,1107084792,0
7/2/13,89.489,1016445146,0
7/3/13,90.797,1031653673,0
7/4/13,78.8,895707780,0
7/5/13,78.48,892405890,0
7/6/13,67.809,771368060,0
7/7/13,68.0831,774804401,0
7/8/13,77.502,882356395,0
7/9/13,76.3915,870081997,0
7/10/13,77,877378425,0
7/11/13,85.75,977479256,0
7/12/13,93.804,1069724400,0
7/13/13,88.0622,1004551934,0
7/14/13,95.58,1090715949,0
7/15/13,94,1073073450,0
7/16/13,97.301,1111179853,0
7/17/13,98.9796,1130735527,0
7/18/13,97.8,1117707300,0
7/19/13,88.7869,1015062893,0
7/20/13,91.572,1047311253,0
7/21/13,89.28,1021492656,0
7/22/13,90.3672,1034399451,0
7/23/13,91.7024,1050054379,0
7/24/13,94.5806,1083333286,0
7/25/13,94.525,1083076902,0
7/26/13,96.9499,1111232483,0
7/27/13,94.13,1079278107,0
7/28/13,94.005,1078286703,0
7/29/13,98.5759,1131111629,0
7/30/13,101.5,1165105812,0
7/31/13,110.34,1267183179,0
8/1/13,106.23,1220481782,0
8/2/13,101.61,1167849454,0
8/3/13,103.7,1192378895,0
8/4/13,104.86,1206152150,0
8/5/13,106.56,1226188584,0
8/6/13,105.841,1218425716,0
8/7/13,106.75,1229098150,0
8/8/13,101.672,1171586790,0
8/9/13,103.4,1192028805,0
8/10/13,102.71,1184605785,0
8/11/13,103.77,1197378682,0
8/12/13,105.18,1214268916,0
8/13/13,106.068,1225008501,0
8/14/13,111.621,1289602061,0
8/15/13,111.87,1292943118,0
8/16/13,109.867,1270257534,0
8/17/13,112.74,1304015666,0
8/18/13,114.4,1323762440,0
8/19/13,118.782,1375023402,0
8/20/13,120.5,1395441212,0
8/21/13,121.51,1407757143,0
8/22/13,122.499,1419858347,0
8/23/13,120,1391517000,0
8/24/13,120.44,1397179275,0
8/25/13,122,1415749000,0
8/26/13,122.04,1416676932,0
8/27/13,125.67,1459371151,0
8/28/13,123.02,1429111038,0
8/29/13,123.44,1434594992,0
8/30/13,129.2,1502172870,0
8/31/13,137.76,1602407100,0
9/1/13,138.17,1607960283,0
9/2/13,137.17,1597132036,0
9/3/13,137.51,1601702729,0
9/4/13,135.21,1575534525,0
9/5/13,129.96,1514888487,0
9/6/13,126.13,1470861842,0
9/7/13,123.73,1443353756,0
9/8/13,121.77,1420952396,0
9/9/13,126.4,1475596760,0
9/10/13,127.78,1492304286,0
9/11/13,131.65,1538132775,0
9/12/13,134.22,1568874092,0
9/13/13,135.05,1579271324,0
9/14/13,131.39,1537187451,0
9/15/13,129.95,1520967287,0
9/16/13,131.48,1539430293,0
9/17/13,131.31,1538014334,0
9/18/13,132.06,1547280990,0
9/19/13,130.23,1526484433,0
9/20/13,128.57,1507618248,0
9/21/13,126.78,1487211807,0
9/22/13,128.37,1506534274,0
9/23/13,126.73,1487984454,0
9/24/13,126.09,1481135098,0
9/25/13,127.99,1504122481,0
9/26/13,128.02,1505025524,0
9/27/13,131.84,1550524096,0
9/28/13,133.93,1575663012,0
9/29/13,140.28,1650965841,0
9/30/13,131.65,1549941780,0
10/1/13,132.55,1561200410,0
10/2/13,132.04,1555751397,0
10/3/13,123.07,1450746083,0
10/4/13,128.26,1512486811,0
10/5/13,129.57,1528611793,0
10/6/13,127.56,1505549223,0
10/7/13,128.38,1515724889,0
10/8/13,125.72,1484816060,0
10/9/13,130.9,1546580228,0
10/10/13,129.68,1532820842,0
10/11/13,130.27,1540367845,0
10/12/13,135.35,1601082220,0
10/13/13,135.48,1603402413,0
10/14/13,140.48,1663458800,0
10/15/13,143.89,1704751164,0
10/16/13,143.61,1702245233,0
10/17/13,146.15,1732995548,0
10/18/13,151.34,1795176162,0
10/19/13,170.51,2023531688,0
10/20/13,172.01,2042261829,0
10/21/13,181.41,2154778910,0
10/22/13,193.45,2298993654,0
10/23/13,206.78,2458505640,0
10/24/13,198.8,2364666360,0
10/25/13,172.48,2052637048,0
10/26/13,178.96,2130644072,0
10/27/13,189.83,2260913266,0
10/28/13,198.55,2365643830,0
10/29/13,204.39,2436022215,0
10/30/13,204.2,2434768490,0
10/31/13,203.88,2432069229,0
11/1/13,205.26,2449516394,0
11/2/13,206.89,2470106260,0
11/3/13,212.45,2537555912,0
11/4/13,226.28,2703825377,0
11/5/13,230.63,2756789579,0
11/6/13,260.85,3119094311,0
11/7/13,295.63,3536067384,0
11/8/13,332.02,3972444990,0
11/9/13,358,4284552950,0
11/10/13,313,3747322075,0
11/11/13,340.55,4078792891,0
11/12/13,355.48,4259334699,0
11/13/13,404.17,4844512975,0
11/14/13,408.84,4902328893,0
11/15/13,424.16,5087746180,0
11/16/13,437.41,5248843453,0
11/17/13,488.36,5862542038,0
11/18/13,580.87,6975450004,0
11/19/13,614.4,7380464640,0
11/20/13,565.34,6793450510,0
11/21/13,675.06,8114440594,0
11/22/13,731.15,8790506777,0
11/23/13,819.31,9853534129,0
11/24/13,764.43,9196532447,0
11/25/13,793.07,9544775891,0
11/26/13,832.93,10028164851,0
11/27/13,914.13,11009416068,0
11/28/13,979.08,11795833455,0
11/29/13,1101.83,13280659993,0
11/30/13,1127.45,13593664650,0
12/1/13,1033.39,12464724345,0
12/2/13,974.03,11753157346,0
12/3/13,1078.64,13020236474,0
12/4/13,1121.48,13542487814,0
12/5/13,989.04,11947405392,0
12/6/13,1019.66,12322234219,0
12/7/13,811.98,9816777302,0
12/8/13,743.11,8987358118,0
12/9/13,897.89,10863885372,0
12/10/13,927.78,11230173843,0
12/11/13,887.08,10741252534,0
12/12/13,878.17,10636987805,0
12/13/13,897.27,10872198158,0
12/14/13,866.99,10509219285,0
12/15/13,854.62,10363485334,0
12/16/13,789.15,9573257565,0
12/17/13,691.65,8393847109,0
12/18/13,559.36,6791343584,0
12/19/13,677.84,8233502182,0
12/20/13,694.25,8436421862,0
12/21/13,596.12,7246404914,0
12/22/13,650.27,7907201916,0
12/23/13,645.75,7854951431,0
12/24/13,659.94,8030446893,0
12/25/13,668.74,8140337961,0
